controller_id,is_healthy,last_assessed,valid_fraction,sample_count,reason
1659477,1,2026-05-11 22:28:54,,,Initial state - meter will be verified by next health assessment
1977673,0,2026-05-11 22:28:54,0,0,Physical flow meter broken - using Garage meter attribution via Z5 gating
